event_id,country,year,policy_milestone
1,Algeria,2020,27% renewables by 2030 plan
2,Argentina,2021,Net zero 2050 NDC update
3,Australia,2022,82% renewables by 2030 target
4,Austria,2020,100% renewable electricity by 2030 goal
5,Bangladesh,2021,Mujib Climate Prosperity Plan
6,Belgium,2021,Nuclear phase-out + offshore wind scale-up
7,Brazil,2015,45% renewables in energy mix target
8,Canada,2016,Pan-Canadian Framework on Clean Growth
9,Chile,2021,Net zero 2050 + coal phase-out by 2040
10,China,2006,Renewable Energy Law enforcement
11,China,2015,Paris Agreement commitment
12,China,2020,Carbon neutrality 2060 pledge
13,China,2021,14th Five-Year Plan clean energy targets
14,Colombia,2021,Carbon neutrality 2050 law
15,Czechia,2020,National Energy and Climate Plan
16,Egypt,2022,42% renewables by 2035 target
17,Finland,2022,Carbon neutrality 2035 target
18,France,2015,Energy Transition for Green Growth Act
19,France,2023,Nuclear + renewables acceleration law
20,Germany,2000,Renewable Energy Sources Act (EEG)
21,Germany,2010,Energiewende policy launched
22,Germany,2023,Coal phase-out accelerated to 2030
23,India,2015,175 GW renewables target by 2022
24,India,2021,500 GW non-fossil target by 2030
25,Indonesia,2021,Net zero by 2060 target
26,Iran,2015,Paris Agreement — renewables expansion
27,Iraq,2021,Net zero 2050 pledge
28,Israel,2021,30% renewables by 2030 target
29,Japan,2021,Carbon neutrality 2050 pledge
30,Japan,2022,Green Transformation (GX) plan
31,Kazakhstan,2021,Carbon neutrality 2060 pledge
32,Kuwait,2021,15% renewables by 2030
33,Malaysia,2021,Carbon neutrality 2050 aspiration
34,Mexico,2015,Clean Energy Law — 35% clean by 2024
35,Netherlands,2019,Climate Agreement — 49% CO2 cut by 2030
36,Norway,2008,98% hydropower — fossil-free grid milestone
37,Pakistan,2021,60% renewables by 2030 target
38,Peru,2021,20% renewables by 2030 target
39,Philippines,2021,Net zero 2050 ambition set
40,Poland,2021,National Energy and Climate Plan update
41,Romania,2021,National Energy and Climate Plan
42,Saudi Arabia,2021,Net zero 2060 + 50% renewables by 2030
43,Singapore,2022,Singapore Green Plan 2030
44,South Korea,2020,Green New Deal + 2050 net zero
45,Spain,2021,Climate Change and Energy Transition Law
46,Sweden,2017,100% renewable electricity target by 2040
47,Switzerland,2019,Energy Strategy 2050 implementation
48,Taiwan,2021,20% renewables by 2025 target
49,Thailand,2022,30% renewables by 2030 (AEDP)
50,Turkey,2021,Net zero 2053 pledge
51,United Arab Emirates,2021,Net zero 2050 pledge
52,United Kingdom,2019,Net Zero 2050 law
53,United Kingdom,2022,British Energy Security Strategy
54,United States,2009,ARRA clean energy stimulus ($90B)
55,United States,2015,Clean Power Plan
56,United States,2022,lation Reduction Act ($369B clean energy)
57,Uzbekistan,2021,25% renewables by 2030
58,Venezuela,2015,Renewable energy diversification plan
59,Vietnam,2021,Net zero 2050 pledge at COP26
